ROBOT_ID,IP_ADDRESS,MAC_ADDRESS
TURTLEBOT4_2,10.111.21.105,
TURTLEBOT4_3,10.111.21.111,e4:5f:01:ce:5c:ea
TURTLEBOT4_4,10.111.21.120,e4:5f:01:ce:5d:14
TURTLEBOT4_5,10.111.21.113,e4:5f:01:ce:ff:6c
TURTLEBOT4_6,10.111.21.179,e4:5f:01:ce:5d:a1
TURTLEBOT4_7,10.111.21.121,e4:5f:01:ce:5d:1a
OSOYOO_1,10.111.21.198,e4:5f:01:9b:67:3d
OSOYOO_2,10.111.21.196,e4:5f:01:9b:68:4e
OSOYOO_3,10.111.21.182,d8:3a:dd:d8:fb:6e
OSOYOO_4,10.111.21.108,e4:5f:01:9b:68:93
OSOYOO_5,10.111.21.169,e4:5f:01:9b:68:7b
OSOYOO_6,10.111.21.199,e4:5f:01:39:7e:e8
OSOYOO_7,10.111.21.147,e4:5f:01:9b:5e:a6
OSOYOO_8,10.111.21.178,d8:3a:dd:5c:0f:ec
OSOYOO_9,10.111.21.122,d8:3a:dd:70:f4:c2
OSOYOO_10,10.111.21.138,e4:5f:01:93:57:71
OSOYOO_11,10.111.23.100,e4:5f:91:9b:69:21 XXXXXXXXXXXXXXXXXX
OSOYOO_12,10.111.21.101,d8:3a:dd:70:f4:a1
OSOYOO_13,10.111.21.100,d8:3a:dd:d8:fb:ea
OSOYOO_14,10.111.21.134,d8:3a:dd:d8:fb:35
OSOYOO_15,10.111.21.157,d8:3a:dd:d7:d1:21
OSOYOO_16,10.111.21.103,d8:3a:dd:d8:fb:a7
OSOYOO_17,10.111.21.163,e4:5f:01:95:1b:8f
OSOYOO_18,10.111.21.135,d8:3a:dd:d8:f8:69
OSOYOO_19,10.111.21.194,d8:3a:dd:d8:fb:d8
OSOYOO_20,10.111.21.158,d8:3a:dd:d8:fa:9d
OSOYOO_21,10.111.21.188,d8:3a:dd:d7:ed:bc
OSOYOO_22,10.111.21.116,d8:3a:dd:70:f4:aa
OSOYOO_23,10.111.21.105,d8:3a:dd:d8:fc:46
OSOYOO_24,10.111.21.106,e4:5f:01:9b:65:ab
OSOYOO_25,10.111.21.115,e4:5f:01:98:7d:af


Cyber-Physical-Systems

Torweg-Sisal2-Hm
